Id,department,faculty,publication,publication_type,node_type
5362,,,context modeling based on feature models expressed as views on ontologies via mappings,article,paper
5479,,,variable neighborhood search and tabu search for the web service selection problem,article,paper
5365,,,an approach to defining scope in software product lines for the telecommunication domain,conference paper,paper
5366,,,admis: generalized administrative system,conference paper,paper
5367,,,"phenetic relationships of six species of mullets (mugilidae) from the south adriatic, as inferred from the study of the visceral and dermal skeleton",article,paper
5372,,,different insulin treatment regimens in patient with diabetes mellitus type 1: effects on quality of life [uticaj razlicitih rezima insulinske terapije na kvalitet zivota obolelih od dijabetesa melitusa tipa 1],article,paper
5378,,,evaluation of asian university rankings: position and perspective of leading indian higher education institutions,article,paper
5379,,,excellence with leadership: the crown indicator of scimago institutions rankings iber report,article,paper
5380,,,applying electronic documents in development of the healthcare information system in the republic of serbia,article,paper
5381,,,infrastructural model for the healthcare system based on emerging technologies,article,paper
5382,,,the crossing speed of elderly pedestrians [brzina hoda starijih pesaka na pesackim prelazima],article,paper
5383,,,introduction and implementation of electronic health card,book chapter,paper
5384,,,determining the number and location of winter road maintenance depots–a case study of the district road network in serbia,article,paper
5385,,,contribution to accident prediction models development for rural two-lane roads in serbia [doprinos razvoju modela predvidjanja saobracajnih nezgoda za vangradske dvotracne puteve u srbiji],article,paper
5386,,,electronic health system - development and implementation into the health system of the republic of serbia [elektronski zdravstveni sistem - razvoj i uvodstrokeenje u zdravstveni sistem republike srbije],article,paper
5387,,,decision-support framework for selecting the optimal road toll collection system,article,paper
5388,,,the effects of mobile phone use on pedestrian crossing behaviour at unsignalized intersections - models for predicting unsafe pedestrians behaviour,article,paper
5389,,,beyond the equal-weight framework of the networked readiness index: a multilevel i-distance methodology,article,paper
5390,,,communication via the web and sms services in the healthcare system in the republic of serbia,article,paper
5391,,,sustainable development in the e-health sector of the european union,article,paper
5409,,,do micro-breaks increase the attention level of an assembly worker? an erp study,article,paper
5423,,,neuroergonomics method for measuring the influence of mental workload modulation on cognitive state of manual assembly worker,conference paper,paper
5506,,,impact of screen aspect ratio on reading electronic material,article,paper
5439,,,investigating brain dynamics in industrial environment – integrating mobile eeg and kinect for cognitive state detection of a worker,conference paper,paper
5501,,,representing it performance management as metamodel,article,paper
5502,,,analysis of available cloud computing models to support cloud adoption decision process in an enterprise,conference paper,paper
5504,,,general model for adequate cloud service selection using decision making methods,article,paper
5447,,,"modelling, analysis and control of large-scale interconnected economic systems.",conference paper,paper
5449,,,the appearance of toxic amount of nitrites in soil,article,paper
5452,,,availability of residual nitrogen from fertilizers in soil,article,paper
5453,,,uveitis and autoimmunity against the retina [les uvéites et l'auto-immunité contre la rétine.],article,paper
5454,,,the study of the fertilizers influence on soil composition and water pollution,article,paper
5455,,,the preparation and use of radiolabelled specific helminth antibodies,article,paper
5469,,,an explanation facility framework for rule-based systems,article,paper
5471,,,konsultant: a knowledge base for automated interpretation of profit values,conference paper,paper
5472,,,automated interpretation of key performance indicator values and its application in education,article,paper
5474,,,a boolean consistent fuzzy inference system for diagnosing diseases and its application for determining peritonitis likelihood,article,paper
5475,,,combining boolean consistent fuzzy logic and ahp illustrated on the web service selection problem,article,paper
5480,,,extending ahp with boolean consistent fuzzy logic and its application in web service selection,conference paper,paper
5481,,,a hybrid metaheuristic based on variable neighborhood search and tabu search for the web service selection problem,article,paper
5485,,,smartmetals: a new method for metal identification based on fuzzy logic,article,paper
5487,,,application of fuzzy ahp method for choosing a technology within service company,article,paper
5488,,,neuro fuzzy reasoner for student modeling,conference paper,paper
5489,,,follow-up and risk assessment in patients with myocardial infarction using artificial neural networks,article,paper
5490,,,a fresh approach for hybrid sql/nosql database design based on data structuredness,article in press,paper
5503,,,metamodel of the artifact-centric approach to event log extraction from erp systems,article,paper
5505,,,educational website conversion improvement using gamification,conference paper,paper
5509,,,gamified educational website conversion optimization,conference paper,paper
